				Antennas	j																																																																																												
				1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94
18	1153	92,50	123,40	188,77	183,49	162,15	161,62	154,54	139,52	136,66	130,18	129,03	127,93	134,67	115,76	133,05	113,11	113,39	112,46	112,29	117,87	122,89	116,33	111,01	117,74	110,39	109,69	108,24	112,13	108,42	109,18	109,71	106,67	105,66	107,85	107,16	108,03	104,53	106,26	104,48	105,04	106,68	105,28	105,53	104,84	105,45	105,15	104,57	104,59	104,39	106,72	104,42	103,86	104,36	101,45	124,86	99,55	100,48	100,16	99,44	101,91	100,49	94,12	98,04	96,86	96,76	112,70	87,65	89,04	95,39	80,40	80,50	29,88	75,47	74,35	72,43	54,75	66,24	79,75	50,56	60,34	52,72	51,25	55,78	90,60	41,72	20,63	4,47	12,09	19,45	25,76	31,32	52,57	50,12	58,16	67,39	78,73
19	1153	93,26	178,61	138,80	133,13	116,99	116,30	109,75	91,18	87,81	82,63	81,62	80,96	91,03	66,30	92,76	63,70	64,36	63,48	63,28	72,30	80,75	70,91	62,78	73,49	62,42	62,06	59,70	66,80	60,99	62,83	64,54	59,77	58,21	62,06	60,95	62,59	57,75	60,80	58,37	59,36	62,36	60,08	60,69	59,82	60,84	60,53	59,73	59,79	59,53	63,33	59,72	58,81	59,72	54,85	90,04	52,64	54,42	55,60	54,51	58,84	57,85	48,67	56,24	54,38	55,82	80,92	43,79	46,63	60,25	39,37	41,34	42,57	39,62	38,13	43,22	0,50	35,48	58,11	5,33	32,05	25,08	25,52	33,16	77,01	42,79	52,85	51,96	59,21	67,76	73,61	79,80	99,43	101,47	106,67	121,84	133,30
20	530	94,00	171,10	144,97	139,38	122,11	121,44	114,75	96,85	93,58	88,08	87,02	86,26	95,68	72,09	96,73	69,46	70,03	69,13	68,93	77,20	84,99	75,77	68,23	78,11	67,80	67,35	65,20	71,59	66,22	67,82	69,26	64,86	63,41	66,90	65,88	67,35	62,78	65,55	63,24	64,14	66,85	64,75	65,28	64,44	65,38	65,07	64,31	64,36	64,11	67,62	64,26	63,43	64,25	59,79	92,90	57,62	59,22	60,04	59,02	62,97	61,87	53,21	60,02	58,29	59,39	83,06	47,78	50,32	62,62	42,43	43,99	35,93	41,33	39,85	43,55	7,12	35,59	57,68	3,24	31,17	22,89	22,86	31,02	75,85	37,51	45,61	44,53	51,69	60,28	66,19	72,39	92,18	94,00	99,36	114,29	125,75
21	979	97,73	192,56	124,55	118,82	103,94	103,21	96,86	77,51	74,04	69,29	68,33	67,82	78,75	52,63	81,50	50,08	50,86	50,01	49,80	59,80	69,20	58,50	49,60	61,43	49,33	49,11	46,48	54,55	48,15	50,34	52,43	47,17	45,45	49,81	48,59	50,45	45,27	48,73	46,14	47,26	50,67	48,15	48,87	47,96	49,11	48,81	47,95	48,03	47,76	51,97	48,00	47,00	48,03	42,58	80,66	40,34	42,40	44,16	42,98	47,84	47,10	37,29	45,96	43,93	45,94	72,97	33,66	36,92	52,44	31,41	34,04	53,27	34,37	33,04	40,37	15,15	33,90	55,77	18,81	32,86	29,46	30,59	36,12	75,39	50,67	64,91	66,28	72,43	80,68	86,24	92,34	111,18	114,18	118,65	135,35	146,83
22	773	99,56	121,39	188,12	182,96	160,53	160,04	152,91	138,73	136,00	129,29	128,12	126,94	132,99	115,43	130,83	112,81	112,99	112,06	111,91	116,72	121,08	115,18	110,47	116,35	109,82	109,04	107,81	111,02	107,76	108,30	108,60	105,93	105,04	106,88	106,28	107,00	103,80	105,26	103,63	104,10	105,48	104,25	104,43	103,79	104,32	104,02	103,49	103,50	103,32	105,36	103,32	102,83	103,25	100,73	121,93	98,92	99,68	99,11	98,46	100,57	99,12	93,35	96,58	95,53	95,20	109,54	86,77	87,89	93,02	79,31	79,14	26,40	73,85	72,83	70,08	57,13	64,44	76,15	52,61	58,65	51,74	50,20	53,76	85,79	38,00	14,97	11,35	4,75	12,65	19,14	25,04	46,32	45,10	52,34	64,28	75,74
23	308	105,45	109,69	197,35	192,35	168,57	168,13	160,94	147,92	145,38	138,41	137,23	135,95	141,03	125,28	138,09	122,70	122,78	121,86	121,71	125,58	129,01	124,04	120,11	124,90	119,41	118,57	117,57	119,96	117,26	117,54	117,56	115,35	114,62	116,02	115,53	116,06	113,25	114,37	112,93	113,30	114,32	113,33	113,42	112,84	113,26	112,98	112,51	112,51	112,34	114,00	112,31	111,91	112,23	110,22	128,10	108,53	109,08	108,20	107,65	109,29	107,79	102,81	105,16	104,30	103,65	115,41	96,16	96,95	100,34	88,53	88,02	34,22	82,47	81,59	77,74	69,58	72,97	81,65	64,91	67,44	61,53	59,95	62,23	88,63	44,51	20,76	23,33	10,80	4,37	7,72	12,54	33,71	32,02	39,38	52,20	63,69
24	1944	105,87	170,40	140,30	134,91	115,33	114,73	107,84	91,34	88,31	82,19	81,07	80,11	88,30	67,14	88,36	64,49	64,85	63,92	63,75	70,46	77,08	68,96	62,64	70,87	62,09	61,47	59,77	64,73	60,24	61,36	62,33	58,63	57,44	60,21	59,35	60,52	56,50	58,71	56,67	57,39	59,58	57,81	58,20	57,43	58,21	57,90	57,22	57,26	57,03	60,02	57,13	56,42	57,09	53,42	83,24	51,39	52,61	52,83	51,95	55,23	53,98	46,32	51,84	50,31	50,93	72,77	40,23	42,25	52,74	33,81	34,82	29,66	31,24	29,81	32,33	14,98	24,38	46,00	10,76	19,53	11,00	11,00	19,13	63,98	28,05	41,59	46,56	50,01	57,84	63,13	69,14	87,63	91,02	95,15	112,90	124,39
25	2508	107,11	46,47	258,08	253,36	227,40	227,06	219,86	208,90	206,63	199,35	198,15	196,75	200,22	187,27	195,88	184,74	184,71	183,80	183,67	186,26	188,18	184,74	181,88	185,13	181,13	180,21	179,52	180,82	178,90	178,84	178,47	176,91	176,36	177,21	176,87	177,15	174,86	175,53	174,36	174,58	175,13	174,47	174,44	173,95	174,22	173,95	173,58	173,57	173,42	174,51	173,35	173,07	173,25	171,91	183,94	170,37	170,67	169,41	169,00	169,99	168,45	164,55	165,73	165,14	164,07	171,01	157,89	158,27	159,09	150,16	149,27	96,28	143,52	142,82	137,69	132,44	134,13	138,03	127,90	129,01	124,07	122,48	123,61	139,07	104,80	82,99	82,21	74,01	66,18	61,47	56,03	45,39	35,38	38,43	11,04	0,47
26	1013	107,49	57,10	247,63	242,88	217,13	216,78	209,58	198,41	196,11	188,85	187,66	186,27	189,90	176,69	185,70	174,16	174,13	173,22	173,09	175,79	177,84	174,26	171,32	174,69	170,57	169,66	168,94	170,33	168,34	168,31	167,98	166,35	165,79	166,69	166,33	166,63	164,30	165,01	163,82	164,05	164,64	163,95	163,93	163,43	163,71	163,45	163,06	163,05	162,91	164,05	162,84	162,55	162,74	161,35	173,94	159,80	160,11	158,89	158,46	159,50	157,96	153,97	155,25	154,64	153,60	161,01	147,32	147,72	148,77	139,59	138,72	85,66	132,98	132,28	127,23	121,91	123,59	127,88	117,36	118,43	113,44	111,85	113,04	129,49	94,26	72,36	71,95	63,40	55,54	50,85	45,47	36,27	25,29	30,02	1,00	11,10
27	321	109,38	133,84	173,15	168,08	145,00	144,53	137,37	123,71	121,10	114,22	113,05	111,81	117,44	100,86	115,08	98,27	98,37	97,45	97,30	101,50	105,49	99,96	95,73	100,99	95,04	94,22	93,17	95,84	92,92	93,29	93,43	91,04	90,26	91,81	91,28	91,89	88,93	90,17	88,66	89,06	90,24	89,15	89,28	88,67	89,13	88,85	88,35	88,36	88,18	90,02	88,16	87,72	88,09	85,89	106,07	84,16	84,77	84,01	83,42	85,27	83,79	78,47	81,21	80,25	79,77	93,69	71,84	72,75	77,26	64,26	63,89	10,55	58,47	57,51	54,36	47,23	48,99	60,36	42,30	43,31	37,08	35,50	38,25	70,75	22,19	5,38	21,03	14,38	21,23	26,41	32,48	51,88	54,34	59,09	76,40	87,86
28	3359	113,79	123,64	181,61	176,69	152,46	152,03	144,84	132,21	129,75	122,67	121,49	120,17	124,94	109,97	121,87	107,42	107,44	106,52	106,39	109,76	112,90	108,22	104,68	108,97	103,96	103,08	102,24	104,18	101,77	101,90	101,79	99,82	99,17	100,34	99,91	100,35	97,74	98,68	97,34	97,65	98,52	97,63	97,68	97,13	97,50	97,22	96,78	96,78	96,62	98,11	96,58	96,22	96,49	94,74	111,86	93,13	93,55	92,52	92,02	93,45	91,93	87,34	89,27	88,49	87,73	99,18	80,68	81,29	84,16	72,99	72,31	18,82	66,68	65,86	61,66	58,32	57,19	65,43	53,38	51,82	46,62	45,03	46,50	73,12	28,36	5,86	24,42	10,10	12,14	16,00	21,79	40,77	43,66	48,01	66,54	77,92
29	675	113,94	78,74	225,10	220,38	194,56	194,21	187,00	175,92	173,65	166,37	165,17	163,77	167,32	154,39	163,15	151,88	151,83	150,92	150,79	153,28	155,27	151,76	148,97	152,15	148,22	147,29	146,64	147,84	145,97	145,88	145,50	143,97	143,45	144,25	143,92	144,17	141,93	142,57	141,41	141,62	142,15	141,50	141,47	140,98	141,24	140,98	140,61	140,60	140,45	141,53	140,38	140,11	140,28	138,99	151,51	137,48	137,74	136,45	136,05	137,01	135,47	131,64	132,75	132,16	131,09	138,58	124,99	125,32	126,19	117,26	116,32	63,66	110,56	109,88	104,71	101,59	101,20	105,35	96,86	96,14	91,47	89,88	90,72	107,53	71,85	50,59	53,87	42,80	34,29	28,95	23,21	17,11	4,18	15,03	22,48	33,45
30	715	115,54	155,60	150,56	145,48	122,82	122,32	115,20	101,13	98,49	91,65	90,48	89,27	95,29	78,28	93,47	75,69	75,78	74,86	74,71	79,00	83,43	77,46	73,13	78,60	72,44	71,61	70,58	73,32	70,31	70,71	70,90	68,43	67,65	69,24	68,69	69,33	66,32	67,60	66,06	66,48	67,75	66,59	66,74	66,11	66,61	66,32	65,80	65,81	65,63	67,61	65,63	65,16	65,55	63,28	85,53	61,55	62,16	61,45	60,84	62,83	61,37	55,87	58,82	57,79	57,46	73,63	49,24	50,20	55,82	41,67	41,40	13,22	36,11	35,08	32,88	31,85	26,74	41,84	26,98	20,91	14,62	13,03	16,20	56,34	10,99	26,50	38,79	36,96	43,51	48,01	53,70	70,98	75,46	78,66	98,51	109,91
31	1436	123,22	165,51	138,78	133,81	110,48	110,00	102,86	89,36	86,85	79,83	78,65	77,37	82,93	67,15	80,94	64,62	64,59	63,68	63,55	67,01	71,02	65,47	61,79	66,43	61,06	60,17	59,40	61,38	58,86	59,00	58,98	56,90	56,28	57,46	57,00	57,49	54,83	55,80	54,43	54,75	55,75	54,76	54,85	54,27	54,68	54,40	53,93	53,94	53,77	55,48	53,74	53,34	53,65	51,84	73,06	50,26	50,64	49,64	49,12	50,74	49,26	44,45	46,65	45,74	45,21	61,29	37,79	38,39	43,28	30,08	29,44	24,36	23,92	23,01	20,35	32,72	14,43	30,47	28,78	8,91	7,88	7,19	3,70	46,90	15,84	37,83	51,30	48,93	54,84	58,76	64,10	79,76	85,50	87,61	109,29	120,59
